,ID,characteristics_of_deformation,country,deformation_observation,duration_of_observation,geodetic_measurements,inferred_causes,latitude,longitude,measurement_methods,name,references,volcano_number,image_url,Area
0,4718,"<p>No deformation was detected at Acamarachi during a regional InSAR survey of Central Andean Volcanoes (Henderson &amp; Pritchard, 2013).</p>
",Chile,No,1992-2011,Yes,,-23.291999999999998,-67.618,InSAR,Acamarachi,"[Henderson S. T., and M. E. Pritchard (2013), Decadal volcanic deformation in the Central Andes Volcanic Zone revealed by InSAR time series, Geochem. Geophys. Geosyst., 14, 1358–1374, doi:10.1002/ggge.20074.<br />
]",355096,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_156D_11424_131313.jpg,South America
1,1316,"<p>No deformation was detected at Acatenango (detection threshold 5.1 cm/yr) during a ALOS survey of Central American volcanoes (<em>Ebmeier et al., 2013</em>).</p>
",Guatemala,No,2007-2010,Yes,,14.501,-90.876,InSAR,Acatenango,"[Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.]",342074,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acatenango/acatenango_026D_07514_131212.jpg,Mexico and Central America
2,1748,,Turkey,,,No,,38.57,34.52,No measurements,Acigol-Nevsehir,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=213004]",213004,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_087A_05101_131313.jpg,Mediterranean and W. Asia
3,4555,"<p>No deformation was detected at Acotango during a regional InSAR survey of Central Andean Volcanoes (Pritchard &amp; Simons, 2004).</p>
",Bolivia/Chile,No,1992-2002,Yes,,-18.37,-69.05,InSAR,Acotango,"[Pritchard, M. E., and M. Simons (2004), An InSAR-based survey of volcanic deformation in the central Andes, Geochem. Geophys. Geosyst., 5, Q02002, doi:10.1029/2003GC000610.<br />
]",355813,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_167D_05077_131313.jpg,South America
4,5225,,United States,,,No,,51.988,-176.592,No measurements,Adagdak,"[U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />
http://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Adagdak]",311800,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_014A_05138_131313.jpg,Alaska
5,433,,United States,,,No,,46.206,-121.49,No measurements,Adams,[U.S. Geological Survey Cascades Volcano Observatory (CVO) website http://volcanoes.usgs.gov/volcanoes/adams/adams_monitoring_121.html],321040,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_094D_05100_131313.jpg,Canada and Western USA
6,4101,,Undersea Features,,,No,,-25.37,-129.27,No measurements,Adams Seamount,"[Global Volcanism Program, 2013. [Adams Seamount (333050)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 21 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=333050]).<br />
]",333050,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adwa/adwa_079D_07894_131313.jpg,Hawaii and Pacific Ocean
7,373,"<p>Keir et al. (2011) processed InSAR data from between 1997-2003 that covered Adwa (also named Amoissa) to investigate a nearby dyke intrusion. Although a figure of this InSAR data is not included in their paper, they state that no deformation associated with the volcano is observed during this time.</p>
",Ethiopia,No,1997-2003,Yes,,10.07,40.84,InSAR,Adwa,"[Keir, D., C. Pagli, I. D. Bastow, and A. Ayele (2011), The magma‐assisted removal of Arabia in Afar: Evidence from dike injection in the Ethiopian rift captured using InSAR and seismicity, Tectonics, 30, TC2008, doi:10.1029/2010TC002785, NASA Landsat image (worldwind.arc.nasa.gov)]",221170,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/agua/agua_026D_07514_131212.jpg,Africa and Red Sea
8,1341,"<p>No deformation was observed at Volcán de Agua, due to low coherence in an ALOS survey of Central American volcanoes (<em>Ebmeier et al., 2013</em>).</p>
",Guatemala,,2007-2010,No,,14.465,-90.743,InSAR,Agua,"[Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.]",342100,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/aguilera/aguilera_010D_13986_131310.jpg,Mexico and Central America
9,941,"<p>Five GPS campaigns were conducted between 1993 and 2002 at São Miguel island, which hosts three stratovolcanoes: <a title=""Sete Cidades"" href=""http://vccw.test/volcano/sete-cidades/"">Sete Cidades</a>, Água de Pau (also called Fogo), and <a title=""Furnas"" href=""http://vccw.test/volcano/furnas/"">Furnas</a>. The campaigns between 1993 to 2000 had few stations situated on Água de Pau, whilst the 2000 and 2002 campaigns focused on Sete Cidades and Água de Pau.<br />
GPS campaign data between 1993 and 2002 show that deformation is driven by WNW–ESE tectonic extension at a rate slower than 5 mm yr<sup>−1</sup> (Trota et al., 2006). GPS time series between 2008 and 2013 also show evidence for tectonic extension (Okada et al., 2014).<br />
During a period of volcanic unrest at  <a title=""Agua de Pau"" href=""http://vccw.test/volcano/agua-de-pau/"">Água de Pau</a> between 2011 and 2012, two further sources of deformation were identified: 1) Permanent edifice-scale inflation centered at NE summit of Fogo, and 2) minor-scale inflation-deflation reversals between Congro, a trachyte maar east of <a title=""Agua de Pau"" href=""http://vccw.test/volcano/agua-de-pau/"">Água de Pau</a> and Furnas volcanoes (Okada et al., 2014).</p>
",Portugal,Yes,"1993 to 2002, 2008 to 2013",Yes,"Magmatic, Surface deposits, Faulting/tectonics",37.77,-25.47,GPS - campaign,Agua de Pau,"[Trota, A., Houlié, N., Briole, P., Gaspar, J. L., Sigmundsson, F., & Feigl, K. L. (2006). Deformation studies at Furnas and Sete Cidades Volcanoes (São Miguel Island, Azores). Velocities and further investigations. Geophysical Journal International, 166(2), 952-956., Okada, J., Sigmundsson, F., Ofeigsson, B., Ferreira, T., Gaspar, J., Lorenzo, M., ... & Rodriques, R. (2014). Volcanic Unrest of Fogo Volcano in 2011-2012, S. Miguel Island, Azores, Observed by Continuous and Campaign GPS Analysis. In EGU General Assembly Conference Abstracts (Vol. 16, p. 13370)., Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=382090]",382090,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/agung/agung_032D_09853_060505.jpg,Atlantic Ocean
