jasmin_name,name,ID,country,geodetic_measurements,deformation_observation,duration_of_observation,characteristics_of_deformation,latitude,longitude,measurement_methods,inferred_causes,references,Area,frames
acamarachi,Acamarachi,355096,Chile,Yes,No,1992-2011,"<p>No deformation was detected at Acamarachi during a regional InSAR survey of Central Andean Volcanoes (Henderson &amp; Pritchard, 2013).</p>
",-23.291999999999998,-67.618,InSAR,,"['Henderson S. T., and M. E. Pritchard (2013), Decadal volcanic deformation in the Central Andes Volcanic Zone revealed by InSAR time series, Geochem. Geophys. Geosyst., 14, 1358–1374, doi:10.1002/ggge.20074.<br />\n']",South America,
acatenango,Acatenango,342074,Guatemala,Yes,No,2007-2010,"<p>No deformation was detected at Acatenango (detection threshold 5.1 cm/yr) during a ALOS survey of Central American volcanoes (<em>Ebmeier et al., 2013</em>).</p>
",14.501,-90.876,InSAR,,"['Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.']",Mexico and Central America,
acigol_nevsehir,Acigol-Nevsehir,213004,Turkey,No,,,,38.57,34.52,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=213004'],Mediterranean and W. Asia,
,Acotango,355813,Bolivia/Chile,Yes,No,1992-2002,"<p>No deformation was detected at Acotango during a regional InSAR survey of Central Andean Volcanoes (Pritchard &amp; Simons, 2004).</p>
",-18.37,-69.05,InSAR,,"['Pritchard, M. E., and M. Simons (2004), An InSAR-based survey of volcanic deformation in the central Andes, Geochem. Geophys. Geosyst., 5, Q02002, doi:10.1029/2003GC000610.<br />\n']",South America,
,Adagdak,311800,United States,No,,,,51.988,-176.592,No measurements,,['U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />\nhttp://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Adagdak'],Alaska,
adams,Adams,321040,United States,No,,,,46.206,-121.49,No measurements,,['U.S. Geological Survey Cascades Volcano Observatory (CVO) website http://volcanoes.usgs.gov/volcanoes/adams/adams_monitoring_121.html'],Canada and Western USA,
,Adams Seamount,333050,Undersea Features,No,,,,-25.37,-129.27,No measurements,,"['Global Volcanism Program, 2013. [Adams Seamount (333050)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 21 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=333050]).<br />\n']",Hawaii and Pacific Ocean,
adwa,Adwa,221170,Ethiopia,Yes,No,1997-2003,"<p>Keir et al. (2011) processed InSAR data from between 1997-2003 that covered Adwa (also named Amoissa) to investigate a nearby dyke intrusion. Although a figure of this InSAR data is not included in their paper, they state that no deformation associated with the volcano is observed during this time.</p>
",10.07,40.84,InSAR,,"['Keir, D., C. Pagli, I. D. Bastow, and A. Ayele (2011), The magma‐assisted removal of Arabia in Afar: Evidence from dike injection in the Ethiopian rift captured using InSAR and seismicity, Tectonics, 30, TC2008, doi:10.1029/2010TC002785', 'NASA Landsat image (worldwind.arc.nasa.gov)']",Africa and Red Sea,
agua,Agua,342100,Guatemala,No,,2007-2010,"<p>No deformation was observed at Volcán de Agua, due to low coherence in an ALOS survey of Central American volcanoes (<em>Ebmeier et al., 2013</em>).</p>
",14.465,-90.743,InSAR,,"['Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.']",Mexico and Central America,
,Agua de Pau,382090,Portugal,Yes,Yes,"1993 to 2002, 2008 to 2013","<p>Five GPS campaigns were conducted between 1993 and 2002 at São Miguel island, which hosts three stratovolcanoes: <a title=""Sete Cidades"" href=""http://vccw.test/volcano/sete-cidades/"">Sete Cidades</a>, Água de Pau (also called Fogo), and <a title=""Furnas"" href=""http://vccw.test/volcano/furnas/"">Furnas</a>. The campaigns between 1993 to 2000 had few stations situated on Água de Pau, whilst the 2000 and 2002 campaigns focused on Sete Cidades and Água de Pau.<br />
GPS campaign data between 1993 and 2002 show that deformation is driven by WNW–ESE tectonic extension at a rate slower than 5 mm yr<sup>−1</sup> (Trota et al., 2006). GPS time series between 2008 and 2013 also show evidence for tectonic extension (Okada et al., 2014).<br />
During a period of volcanic unrest at  <a title=""Agua de Pau"" href=""http://vccw.test/volcano/agua-de-pau/"">Água de Pau</a> between 2011 and 2012, two further sources of deformation were identified: 1) Permanent edifice-scale inflation centered at NE summit of Fogo, and 2) minor-scale inflation-deflation reversals between Congro, a trachyte maar east of <a title=""Agua de Pau"" href=""http://vccw.test/volcano/agua-de-pau/"">Água de Pau</a> and Furnas volcanoes (Okada et al., 2014).</p>
",37.77,-25.47,GPS - campaign,"Magmatic, Surface deposits, Faulting/tectonics","['Trota, A., Houlié, N., Briole, P., Gaspar, J. L., Sigmundsson, F., & Feigl, K. L. (2006). Deformation studies at Furnas and Sete Cidades Volcanoes (São Miguel Island, Azores). Velocities and further investigations. Geophysical Journal International, 166(2), 952-956.', 'Okada, J., Sigmundsson, F., Ofeigsson, B., Ferreira, T., Gaspar, J., Lorenzo, M., ... & Rodriques, R. (2014). Volcanic Unrest of Fogo Volcano in 2011-2012, S. Miguel Island, Azores, Observed by Continuous and Campaign GPS Analysis. In EGU General Assembly Conference Abstracts (Vol. 16, p. 13370).', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=382090']",Atlantic Ocean,
,Aguas Delgadas,355857,Chile,Yes,No,1992-2011,"<p>No deformation was detected at Aguas Delgadas during a regional InSAR survey of Central Andean Volcanoes (Henderson &amp; Pritchard, 2013).</p>
",-24.45,-68.4,InSAR,,"['Henderson S. T., and M. E. Pritchard (2013), Decadal volcanic deformation in the Central Andes Volcanic Zone revealed by InSAR time series, Geochem. Geophys. Geosyst., 14, 1358–1374, doi:10.1002/ggge.20074.<br />\n']",South America,
aguilera,Aguilera,358062,Chile,Yes,No,1993-1999,"<p>No deformation was detected at Aguilera volcano during an ERS survey of Austral Andes Volcanoes (Pritchard and Simons, 2004).</p>
",-50.33,-73.75,InSAR,,"['Pritchard, M. E., and M. Simons (2004), An InSAR-based survey of volcanic deformation in the southern Andes, Geophys. Res. Lett., 31, L15610, doi:10.1029/2004GL020545.<br />\n']",South America,
