db_name,db_volcano_number,db_name_to_lower,jasmin_name
NULL,NULL,NULL,abu
Acamarachi,355096,acamarachi,acamarachi
Acatenango,342074,acatenango,acatenango
Acigol-Nevsehir,213004,acigol-nevsehir,acigol_nevsehir
Adams,321040,adams,adams
NULL,NULL,NULL,adatarayama
Adwa,221170,adwa,adwa
NULL,NULL,NULL,afdera
Agua,342100,agua,agua
Aguilera,358062,aguilera,aguilera
Agung,264020,agung,agung
Aira,282080,aira,aira
Akademia Nauk,300125,akademia_nauk,akademia_nauk
NULL,NULL,NULL,akagisan
NULL,NULL,NULL,akan
NULL,NULL,NULL,akandanayama
Akhtang,300320,akhtang,akhtang
NULL,NULL,NULL,akita-komagatake
NULL,NULL,NULL,akita-yakeyama
NULL,NULL,NULL,akuseki-jima
Akutan,311320,akutan,akutan
Alayta,221112,alayta,alayta
Alcedo,353040,alcedo,alcedo
Ale Bagu,221090,ale_bagu,ale_bagu
Alid,221040,alid,alid
Aliso,352031,aliso,aliso
Almolonga,342040,almolonga,almolonga
Alney-Chashakondzha,300450,alney-chashakondzha,alney-chashakondzha
Alngey,300600,alngey,alngey
Alu-Dalafilla,221060,alu-dalafilla,alu-dalafilla
Alutu,221270,alutu,alutu
Amasing,268072,amasing,amasing
Ambalatungan Group,273088,ambalatungan_group,ambalatungan_group
Ambang,266020,ambang,ambang
Amorong,273085,amorong,amorong
Amukta,311190,amukta,amukta
Anaun,300390,anaun,anaun
Andahua-Orcopampa,354004,andahua-orcopampa,andahua-orcopampa
Aniakchak,312090,aniakchak,aniakchak
Antillanca Group,357153,antillanca_group,antillanca_group
Antisana,352030,antisana,antisana
Antofagasta Volcanic Field,355180,antofagasta_volcanic_field,antofagasta_volcanic_field
Antuco,357080,antuco,antuco
NULL,NULL,NULL,aogashima
Apagado,355830,apagado,apagado
Apaneca Range,343010,apaneca_range,apaneca_range
Apastepeque Field,343071,apastepeque_field,apastepeque_field
Apo,271030,apo,apo
Apoyeque,344091,apoyeque,apoyeque
Aracar,355160,aracar,aracar
Aragats,214060,aragats,aragats
Ararat,213040,ararat,ararat
Arayat,273084,arayat,arayat
Ardoukoba,221126,ardoukoba,ardoukoba
Arenal,345033,arenal,arenal
Arenales,358059,arenales,arenales
Arjuno-Welirang,263290,arjuno-welirang,arjuno-welirang
Asacha,300058,asacha,asacha
NULL,NULL,NULL,asamayama
Asavyo,221104,asavyo,asavyo
Askja,373060,askja,askja
NULL,NULL,NULL,asosan
Assab Volcanic Field,221125,assab_volcanic_field,assab_volcanic_field
NULL,NULL,NULL,ata
Atacazo,352021,atacazo,atacazo
Atakor Volcanic Field,225005,atakor_volcanic_field,atakor_volcanic_field
NULL,NULL,NULL,atitlan
Atka,311160,atka,atka
Auckland Field,241020,auckland_field,auckland_field
Augustine,313010,augustine,augustine
Avachinsky,300100,avachinsky,avachinsky
Awu,267040,awu,awu
