,name,latitude,longitude
0,Acamarachi,-23.292,-67.618
1,Acatenango,14.501,-90.876
2,Acigol-Nevsehir,38.57,34.52
3,Acotango,-18.37,-69.05
4,Adagdak,51.988,-176.592
5,Adams,46.206,-121.49
6,Adams Seamount,-25.37,-129.27
7,Adwa,10.07,40.84
8,Agua,14.465,-90.743
9,Agua de Pau,37.77,-25.47
10,Aguas Delgadas,-24.45,-68.4
11,Aguilera,-50.33,-73.75
12,Agung,-8.342,115.508
13,Aira,31.593,130.657
14,Akademia Nauk,53.98,159.45
15,Akhtang,55.43,158.65
16,Akutan,54.134,-165.986
17,Al Harrah,31.08,38.42
18,Alaid,50.861,155.565
19,Alayta,12.888,40.573
20,Alban Hills,41.73,12.7
21,Alcedo,-0.43,-91.12
22,Ale Bagu,13.52,40.63
23,Alexander Selkirk,-33.763,-80.811
24,Alid,14.88,39.92
25,Aliso,-0.53,-78
26,Alligator Lake,60.42,-135.42
27,Almolonga,14.797,-91.519
28,Alney-Chashakondzha,56.7,159.65
29,Alngey,57.7,160.4
30,Alu-Dalafilla,13.793,40.55
31,Alutu,7.77,38.78
32,Amak,55.424,-163.149
33,Amasing,-0.53,127.48
34,Ambalatungan Group,17.32,121.1
35,Ambang,0.75,124.42
36,Ambitle,-4.08,153.65
37,Ambre-Bobaomby,-12.6,49.15
38,Ambrym,-16.25,168.12
39,Amiata,42.9,11.63
40,Amorong,15.828,120.805
41,Amsterdam Island,-37.83,77.52
42,Amukta,52.5,-171.252
43,Anaun,56.32,158.83
44,Andahua-Orcopampa,-15.42,-72.33
45,Andrus,-75.8,-132.33
46,Aneityum,-20.2,169.78
47,Aniakchak,56.88,-158.17
48,Ankaizina Field,-14.3,48.67
49,Ankaratra Field,-19.4,47.2
50,Antillanca Group,-40.771,-72.153
51,Antisana,-0.481,-78.141
52,Antofagasta Volcanic Field,-26.12,-67.4
53,Antofalla,-25.55,-67.92
54,Antuco,-37.406,-71.349
55,Aoba,-15.4,167.83
56,Apagado,-22.05,-67.97
57,Apagado,-41.88,-72.58
58,Apaneca Range,13.891,-89.786
59,Apastepeque Field,13.72,-88.77
60,Apo,6.989,125.269
61,Apoyeque,12.242,-86.342
62,Aracar,-24.29,-67.783
63,Aragats,40.53,44.2
64,Ararat,39.7,44.3
65,Arayat,15.2,120.742
66,Ardoukoba,11.58,42.47
67,Arenal,10.463,-84.703
68,Arenales,-47.2,-47.2
69,Arintica,-18.75,-69.05
70,Arjuno-Welirang,-7.733,112.575
71,Arshan,47.5,120.7
72,Asacha,52.355,157.827
73,Asavyo,13.07,41.6
74,Ascension,-7.95,-14.37
75,Askja,65.03,-16.75
76,Assab Volcanic Field,12.95,42.43
77,Atacazo,-0.353,-78.617
78,Atakor Volcanic Field,23.33,5.83
79,Atitlán,14.583,-91.186
80,Atka,52.332,-174.137
