,ID,name,location,volcano_number,country,geodetic_measurements,deformation_observation,duration_of_observation,characteristics_of_deformation,latitude,longitude,images,uri,api_endpoint,measurement_methods,inferred_causes,references,date_added,last_modified
0,4718,Acamarachi,"[{'name': 'South America', 'url': 'https://comet.nerc.ac.uk/location/south-america/', 'slug': 'south-america', 'id': 53, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/53'}]",355096,Chile,Yes,No,1992-2011,"<p>No deformation was detected at Acamarachi during a regional InSAR survey of Central Andean Volcanoes (Henderson &amp; Pritchard, 2013).</p>
",-23.292,-67.618,"[{'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_149A_11428_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_149A_11428_131313.jpg', 'width': 748, 'height': 1110, 'mime': 'image/jpeg', 'size': 303182, 'filename': 'acamarachi_149A_11428_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_156D_11424_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_156D_11424_131313.jpg', 'width': 617, 'height': 1050, 'mime': 'image/jpeg', 'size': 271277, 'filename': 'acamarachi_156D_11424_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_149A_11230_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_149A_11230_131313.jpg', 'width': 748, 'height': 1110, 'mime': 'image/jpeg', 'size': 284389, 'filename': 'acamarachi_149A_11230_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_156D_11226_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_156D_11226_131313.jpg', 'width': 748, 'height': 1110, 'mime': 'image/jpeg', 'size': 265795, 'filename': 'acamarachi_156D_11226_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_083D_11254_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acamarachi/acamarachi_083D_11254_131313.jpg', 'width': 748, 'height': 1110, 'mime': 'image/jpeg', 'size': 286984, 'filename': 'acamarachi_083D_11254_131313.jpg'}]",https://comet.nerc.ac.uk/volcanoes/acamarachi/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/4718,InSAR,[],"['Henderson S. T., and M. E. Pritchard (2013), Decadal volcanic deformation in the Central Andes Volcanic Zone revealed by InSAR time series, Geochem. Geophys. Geosyst., 14, 1358–1374, doi:10.1002/ggge.20074.<br />\n']",2018-02-28 14:05:41,2018-02-28 14:05:41
1,1316,Acatenango,"[{'name': 'Mexico and Central America', 'url': 'https://comet.nerc.ac.uk/location/mexico-and-central-america/', 'slug': 'mexico-and-central-america', 'id': 41, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/41'}]",342074,Guatemala,Yes,No,2007-2010,"<p>No deformation was detected at Acatenango (detection threshold 5.1 cm/yr) during a ALOS survey of Central American volcanoes (<em>Ebmeier et al., 2013</em>).</p>
",14.501,-90.876,"[{'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acatenango/acatenango_026D_07514_131212.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acatenango/acatenango_026D_07514_131212.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 289251, 'filename': 'acatenango_026D_07514_131212.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acatenango/acatenango_136A_07527_091213.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acatenango/acatenango_136A_07527_091213.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 296427, 'filename': 'acatenango_136A_07527_091213.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acatenango/acatenango_136A_07522_091613.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acatenango/acatenango_136A_07522_091613.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 293743, 'filename': 'acatenango_136A_07522_091613.jpg'}]",https://comet.nerc.ac.uk/volcanoes/acatenango/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/1316,InSAR,[],"['Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.']",2015-04-22 11:39:01,2015-04-22 11:39:01
2,1748,Acigol-Nevsehir,"[{'name': 'Mediterranean and W. Asia', 'url': 'https://comet.nerc.ac.uk/location/mediterranean-and-w-asia/', 'slug': 'mediterranean-and-w-asia', 'id': 48, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/48'}]",213004,Turkey,No,,,,38.57,34.52,"[{'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_087A_05101_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_087A_05101_131313.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 275451, 'filename': 'acigol-nevsehir_087A_05101_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_167D_05077_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_167D_05077_131313.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 269146, 'filename': 'acigol-nevsehir_167D_05077_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_014A_05138_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_014A_05138_131313.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 272548, 'filename': 'acigol-nevsehir_014A_05138_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_094D_05100_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/acigol_nevsehir/acigol-nevsehir_094D_05100_131313.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 271685, 'filename': 'acigol-nevsehir_094D_05100_131313.jpg'}]",https://comet.nerc.ac.uk/volcanoes/acigol-nevsehir/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/1748,No measurements,[],['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=213004'],2015-07-21 20:52:26,2015-07-21 20:52:26
3,4555,Acotango,"[{'name': 'South America', 'url': 'https://comet.nerc.ac.uk/location/south-america/', 'slug': 'south-america', 'id': 53, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/53'}]",355813,Bolivia/Chile,Yes,No,1992-2002,"<p>No deformation was detected at Acotango during a regional InSAR survey of Central Andean Volcanoes (Pritchard &amp; Simons, 2004).</p>
",-18.37,-69.05,[],https://comet.nerc.ac.uk/volcanoes/acotango/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/4555,InSAR,[],"['Pritchard, M. E., and M. Simons (2004), An InSAR-based survey of volcanic deformation in the central Andes, Geochem. Geophys. Geosyst., 5, Q02002, doi:10.1029/2003GC000610.<br />\n']",2018-02-27 15:45:39,2018-02-27 15:45:39
4,5225,Adagdak,"[{'name': 'Alaska', 'url': 'https://comet.nerc.ac.uk/location/alaska/', 'slug': 'alaska', 'id': 45, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/45'}]",311800,United States,No,,,,51.988,-176.592,[],https://comet.nerc.ac.uk/volcanoes/adagdak/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/5225,No measurements,[],['U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />\nhttp://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Adagdak'],2015-04-10 10:05:06,2015-04-10 10:05:06
5,433,Adams,"[{'name': 'Canada and Western USA', 'url': 'https://comet.nerc.ac.uk/location/canada-and-western-usa/', 'slug': 'canada-and-western-usa', 'id': 43, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/43'}]",321040,United States,No,,,,46.206,-121.49,"[{'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/adams/adams_137A_04439_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adams/adams_137A_04439_131313.jpg', 'width': 656, 'height': 1050, 'mime': 'image/jpeg', 'size': 265869, 'filename': 'adams_137A_04439_131313.jpg'}]",https://comet.nerc.ac.uk/volcanoes/adams/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/433,No measurements,[],['U.S. Geological Survey Cascades Volcano Observatory (CVO) website http://volcanoes.usgs.gov/volcanoes/adams/adams_monitoring_121.html'],2015-02-17 15:56:45,2015-02-17 15:56:45
6,4101,Adams Seamount,"[{'name': 'Hawaii and Pacific Ocean', 'url': 'https://comet.nerc.ac.uk/location/hawaii-and-pacific-ocean/', 'slug': 'hawaii-and-pacific-ocean', 'id': 59, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/59'}]",333050,Undersea Features,No,,,,-25.37,-129.27,[],https://comet.nerc.ac.uk/volcanoes/adams-seamount/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/4101,No measurements,[],"['Global Volcanism Program, 2013. [Adams Seamount (333050)] in Volcanoes of the World, v. 4.5.0. Venzke, E (ed.). Smithsonian Institution. Downloaded 21 Jul 2016 ([http://volcano.si.edu/volcano.cfm?vn=333050]).<br />\n']",2016-07-21 20:46:48,2016-07-21 20:46:48
7,373,Adwa,"[{'name': 'Africa and Red Sea', 'url': 'https://comet.nerc.ac.uk/location/africa-and-red-sea/', 'slug': 'africa-and-red-sea', 'id': 42, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/42'}]",221170,Ethiopia,Yes,No,1997-2003,"<p>Keir et al. (2011) processed InSAR data from between 1997-2003 that covered Adwa (also named Amoissa) to investigate a nearby dyke intrusion. Although a figure of this InSAR data is not included in their paper, they state that no deformation associated with the volcano is observed during this time.</p>
",10.07,40.84,"[{'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/adwa/adwa_014A_07885_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adwa/adwa_014A_07885_131313.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 279247, 'filename': 'adwa_014A_07885_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/adwa/adwa_079D_07894_131313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adwa/adwa_079D_07894_131313.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 273643, 'filename': 'adwa_079D_07894_131313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/adwa/adwa_014A_08068_141313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adwa/adwa_014A_08068_141313.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 297610, 'filename': 'adwa_014A_08068_141313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/adwa/adwa_087A_08102_131312.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adwa/adwa_087A_08102_131312.jpg', 'width': 750, 'height': 1110, 'mime': 'image/jpeg', 'size': 307412, 'filename': 'adwa_087A_08102_131312.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/adwa/adwa_087A_08102_131311.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adwa/adwa_087A_08102_131311.jpg', 'width': 750, 'height': 1110, 'mime': 'image/jpeg', 'size': 307412, 'filename': 'adwa_087A_08102_131311.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/adwa/adwa_014A_07884_121313.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adwa/adwa_014A_07884_121313.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 276707, 'filename': 'adwa_014A_07884_121313.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/adwa/adwa_014A_08068_121312.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/adwa/adwa_014A_08068_121312.jpg', 'width': 619, 'height': 1050, 'mime': 'image/jpeg', 'size': 272561, 'filename': 'adwa_014A_08068_121312.jpg'}]",https://comet.nerc.ac.uk/volcanoes/adwa/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/373,InSAR,[],"['Keir, D., C. Pagli, I. D. Bastow, and A. Ayele (2011), The magma‐assisted removal of Arabia in Afar: Evidence from dike injection in the Ethiopian rift captured using InSAR and seismicity, Tectonics, 30, TC2008, doi:10.1029/2010TC002785', 'NASA Landsat image (worldwind.arc.nasa.gov)']",2015-02-11 09:58:02,2015-02-11 09:58:02
8,1341,Agua,"[{'name': 'Mexico and Central America', 'url': 'https://comet.nerc.ac.uk/location/mexico-and-central-america/', 'slug': 'mexico-and-central-america', 'id': 41, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/41'}]",342100,Guatemala,No,,2007-2010,"<p>No deformation was observed at Volcán de Agua, due to low coherence in an ALOS survey of Central American volcanoes (<em>Ebmeier et al., 2013</em>).</p>
",14.465,-90.743,"[{'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/agua/agua_136A_07527_091213.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/agua/agua_136A_07527_091213.jpg', 'width': 644, 'height': 1050, 'mime': 'image/jpeg', 'size': 294326, 'filename': 'agua_136A_07527_091213.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/agua/agua_136A_07522_091613.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/agua/agua_136A_07522_091613.jpg', 'width': 644, 'height': 1050, 'mime': 'image/jpeg', 'size': 293278, 'filename': 'agua_136A_07522_091613.jpg'}, {'path': '/nas/content/live/cometnerc/wp-content/uploads/figures_sentinel/agua/agua_026D_07514_131212.jpg', 'url': 'https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/agua/agua_026D_07514_131212.jpg', 'width': 644, 'height': 1050, 'mime': 'image/jpeg', 'size': 287096, 'filename': 'agua_026D_07514_131212.jpg'}]",https://comet.nerc.ac.uk/volcanoes/agua/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/1341,InSAR,[],"['Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.']",2015-04-23 12:59:09,2015-04-23 12:59:09
9,941,Agua de Pau,"[{'name': 'Atlantic Ocean', 'url': 'https://comet.nerc.ac.uk/location/atlantic-ocean/', 'slug': 'atlantic-ocean', 'id': 46, 'api_endpoint': 'https://comet.nerc.ac.uk/wp-json/volcanodb/v1/location/46'}]",382090,Portugal,Yes,Yes,"1993 to 2002, 2008 to 2013","<p>Five GPS campaigns were conducted between 1993 and 2002 at São Miguel island, which hosts three stratovolcanoes: <a title=""Sete Cidades"" href=""http://vccw.test/volcano/sete-cidades/"">Sete Cidades</a>, Água de Pau (also called Fogo), and <a title=""Furnas"" href=""http://vccw.test/volcano/furnas/"">Furnas</a>. The campaigns between 1993 to 2000 had few stations situated on Água de Pau, whilst the 2000 and 2002 campaigns focused on Sete Cidades and Água de Pau.<br />
GPS campaign data between 1993 and 2002 show that deformation is driven by WNW–ESE tectonic extension at a rate slower than 5 mm yr<sup>−1</sup> (Trota et al., 2006). GPS time series between 2008 and 2013 also show evidence for tectonic extension (Okada et al., 2014).<br />
During a period of volcanic unrest at  <a title=""Agua de Pau"" href=""http://vccw.test/volcano/agua-de-pau/"">Água de Pau</a> between 2011 and 2012, two further sources of deformation were identified: 1) Permanent edifice-scale inflation centered at NE summit of Fogo, and 2) minor-scale inflation-deflation reversals between Congro, a trachyte maar east of <a title=""Agua de Pau"" href=""http://vccw.test/volcano/agua-de-pau/"">Água de Pau</a> and Furnas volcanoes (Okada et al., 2014).</p>
",37.77,-25.47,[],https://comet.nerc.ac.uk/volcanoes/agua-de-pau/,https://comet.nerc.ac.uk/wp-json/volcanodb/v1/volcano/941,GPS - campaign,"Magmatic, Surface deposits, Faulting/tectonics","['Trota, A., Houlié, N., Briole, P., Gaspar, J. L., Sigmundsson, F., & Feigl, K. L. (2006). Deformation studies at Furnas and Sete Cidades Volcanoes (São Miguel Island, Azores). Velocities and further investigations. Geophysical Journal International, 166(2), 952-956.', 'Okada, J., Sigmundsson, F., Ofeigsson, B., Ferreira, T., Gaspar, J., Lorenzo, M., ... & Rodriques, R. (2014). Volcanic Unrest of Fogo Volcano in 2011-2012, S. Miguel Island, Azores, Observed by Continuous and Campaign GPS Analysis. In EGU General Assembly Conference Abstracts (Vol. 16, p. 13370).', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=382090']",2015-04-08 10:03:47,2015-04-08 10:03:47
