,jasmin_name,latitude,longitude,Area
0,acamarachi,-23.291999999999998,-67.618,South America
1,acatenango,14.501,-90.876,Mexico and Central America
2,acigol_nevsehir,38.57,34.52,Mediterranean and W. Asia
3,,-18.37,-69.05,South America
4,,51.988,-176.592,Alaska
5,adams,46.206,-121.49,Canada and Western USA
6,,-25.37,-129.27,Hawaii and Pacific Ocean
7,adwa,10.07,40.84,Africa and Red Sea
8,agua,14.465,-90.743,Mexico and Central America
9,,37.77,-25.47,Atlantic Ocean
10,,-24.45,-68.4,South America
11,aguilera,-50.33,-73.75,South America
12,agung,-8.342,115.508,Indonesia
13,aira,31.593000000000004,130.657,"Japan, Taiwan, Marianas"
14,akademia_nauk,53.98,159.45,Kamchatka and Mainland Asia
15,akhtang,55.43,158.65,Kamchatka and Mainland Asia
16,akutan,54.13399999999999,-165.986,Alaska
17,,31.08,38.42,Middle East and Indian Ocean
18,,37.583,1100.0,Middle East and Indian Ocean
19,,50.861000000000004,155.565,Kuril Islands
20,alayta,12.888,40.573,Africa and Red Sea
21,,41.73,12.7,Mediterranean and W. Asia
22,alcedo,-0.43,-91.12,South America
23,ale_bagu,13.52,40.63,Africa and Red Sea
24,,-33.763000000000005,-80.811,South America
25,alid,14.88,39.92,Africa and Red Sea
26,aliso,-0.53,-78.0,South America
27,,60.42,-135.42,Canada and Western USA
28,almolonga,14.797,-91.51899999999999,Mexico and Central America
29,alney-chashakondzha,56.7,159.65,Kamchatka and Mainland Asia
30,alngey,57.7,160.4,Kamchatka and Mainland Asia
31,alu-dalafilla,13.793,40.55,Africa and Red Sea
32,alutu,7.77,38.78,Africa and Red Sea
33,,55.424,-163.149,Alaska
34,amasing,-0.53,127.48,Indonesia
35,ambalatungan_group,17.32,121.1,Philippines and SE Asia
36,ambang,0.75,124.42,Indonesia
37,,-4.08,153.65,Melanesia and Australia
38,,-12.6,49.15,Middle East and Indian Ocean
39,,-16.25,168.12,Melanesia and Australia
40,,42.9,11.63,Mediterranean and W. Asia
41,amorong,15.828,120.805,Philippines and SE Asia
42,,-37.83,77.52,Middle East and Indian Ocean
43,amukta,52.5,-171.252,Alaska
44,anaun,56.32,158.83,Kamchatka and Mainland Asia
45,andahua-orcopampa,-15.42,-72.33,South America
46,,-75.8,-132.33,Antarctica
47,,-20.2,169.78,Melanesia and Australia
48,aniakchak,56.88,-158.17,Alaska
49,,-14.3,48.67,Middle East and Indian Ocean
50,,-19.4,47.2,Middle East and Indian Ocean
51,antillanca_group,-40.771,-72.153,South America
52,antisana,-0.48100000000000004,-78.141,South America
53,antofagasta_volcanic_field,-26.12,-67.4,South America
54,,-25.55,-67.92,South America
55,antuco,-37.406,-71.34899999999999,South America
56,,-15.4,167.83,Melanesia and Australia
57,apagado,-22.05,-67.97,South America
58,,-41.88,-72.58,South America
59,apaneca_range,13.890999999999998,-89.786,Mexico and Central America
60,apastepeque_field,13.72,-88.77,Mexico and Central America
61,apo,6.989,125.26899999999999,Philippines and SE Asia
62,apoyeque,12.242,-86.34200000000001,Mexico and Central America
63,aracar,-24.29,-67.783,South America
64,aragats,40.53,44.2,Mediterranean and W. Asia
65,ararat,39.7,44.3,Mediterranean and W. Asia
66,arayat,15.2,120.742,Philippines and SE Asia
67,ardoukoba,11.58,42.47,Africa and Red Sea
68,arenal,10.463,-84.70299999999999,Mexico and Central America
69,arenales,-47.2,-47.2,South America
70,,-18.75,-69.05,South America
71,arjuno-welirang,-7.733,112.575,Indonesia
72,,47.5,120.7,Kamchatka and Mainland Asia
73,asacha,52.355,157.827,Kamchatka and Mainland Asia
74,asavyo,13.07,41.6,Africa and Red Sea
75,,-7.95,-14.37,Atlantic Ocean
76,askja,65.03,-16.75,Iceland and Arctic Ocean
77,assab_volcanic_field,12.95,42.43,Africa and Red Sea
78,atacazo,-0.353,-78.617,South America
79,atakor_volcanic_field,23.33,5.83,Africa and Red Sea
80,,14.583,-91.186,Mexico and Central America
81,atka,52.332,-174.137,Alaska
82,,59.68,-133.32,Canada and Western USA
83,,-37.738,-68.92399999999999,South America
84,,-21.22,-68.47,South America
85,auckland_field,-36.9,174.87,New Zealand to Fiji
86,augustine,59.363,-153.43,Alaska
87,avachinsky,53.256,158.836,Kamchatka and Mainland Asia
88,awu,3.6889999999999996,125.447,Indonesia
89,,45.95,-130.0,Hawaii and Pacific Ocean
90,ayelu,10.082,40.702,Africa and Red Sea
91,azas_plateau,52.52,98.6,Kamchatka and Mainland Asia
92,azufral,1.08,-77.68,South America
93,,19.523,121.94,Philippines and SE Asia
94,bachelor,43.979,-121.68799999999999,Canada and Western USA
95,bagana,-6.1370000000000005,155.196,Melanesia and Australia
96,bagana,-37.77,142.5,Melanesia and Australia
97,bakening,53.905,158.07,Kamchatka and Mainland Asia
98,baker,48.777,-121.81299999999999,Canada and Western USA
99,,8.77,124.98,Philippines and SE Asia
100,balbi,-5.92,154.98,Melanesia and Australia
101,,-2.57,147.28,Melanesia and Australia
102,baluran,-7.85,114.37,Indonesia
103,balut,5.4,125.375,Philippines and SE Asia
104,bam,-3.613,144.81799999999998,Melanesia and Australia
105,bamus,-5.2,151.23,Melanesia and Australia
106,banahaw,14.07,121.48,Philippines and SE Asia
107,banda_api,-4.523,129.881,Indonesia
108,,3.138,125.491,Indonesia
109,,19.3,-110.82,Mexico and Central America
110,bardarbunga,64.42,-17.33,Iceland and Arctic Ocean
111,barkhatnaya_sopka,52.823,158.27,Kamchatka and Mainland Asia
112,baru,8.808,-82.54299999999999,Mexico and Central America
113,barva,10.135,-84.1,Mexico and Central America
114,barva,10.2,-84.23299999999999,Mexico and Central America
115,,10.8,107.2,Philippines and SE Asia
116,batu_tara,-7.791,123.585,Indonesia
117,batur,-8.242,115.375,Indonesia
118,bayuda_volcanic_field,18.33,32.75,Africa and Red Sea
119,bazman,28.07,60.0,Middle East and Indian Ocean
120,behm_canal-rudyerd_bay,55.32,-131.05,Alaska
